type,text,reading,meaning,note
meta,大醫精誠,대의정성,,PDF에 보이는 원문·음·번역·설명 기준
char,凡,무릇 범,,
word,大醫,대의,큰 의사,
word,治病,치병,병을 치료함,
word,安神,안신,정신을 안정시킴,
word,定志,정지,의지(뜻)를 정함,
word,無欲無求,무욕무구,바라거나 얻고자 하는 것이 없음,
word,大慈惻隱之心,대자측은지심,크게 자애롭고 측은한 마음,
word,誓願,서원,맹세하고 원함,
word,普救,보구,널리 구원함,
word,含靈之苦,함령지고,영혼을 가진 것의 고통,
word,疾厄,질액,질병과 재앙,
word,來求救,래구구,와서 구제해 주기를 요구함,
word,貴賤貧富,귀천빈부,"귀한지 천한지, 빈부",
word,長幼妍媸,장유연치,"나이가 많은지 적은지, 고운지 추한지",
word,怨親善友,원친선우,"원수인지 친한지, 착한 벗인지",
word,華夷愚智,화이우지,"중화 민족인지 오랑캐인지, 어리석은지 지혜로운지",
word,普同一等,보동일등,널리 한가지로 여김,
word,至親之想,지친지상,지극히 친한 사람을 생각하는 것,
word,瞻前顧後,첨전고후,앞을 엿보고 뒤를 돌아봄,
word,自慮吉凶,자려길흉,스스로 길흉을 생각함,
word,護惜身命,호석신명,자신의 목숨을 보호하고 아낌,
word,苦惱,고뇌,고통스럽고 괴로워함,
word,若己有之,약기유지,마치 나에게 있는 것처럼 함,
word,深心悽愴,심심처창,마음 깊이 불쌍히 여김,
word,嶮巇,험희,험한 곳,
word,晝夜,주야,낮과 밤,
word,寒暑,한서,춥고 더움,
word,饑渴,기갈,배고픔과 목마름,
word,疲勞,피로,피곤함,
word,一心赴救,일심부구,한결같은 마음으로 구제하는 데 다다름,
word,功夫形迹之心,공부형적지심,공로를 드러내고 싶은 마음,"공부 : 공로, 형적 : 발자취"
word,蒼生大醫,창생대의,창생대의. 민중을 치료할 만한 큰 의사,창생 : 갓 태어난 푸른 생명체로 여기선 인간을 뜻함
word,含靈巨賊,함령거적,사람들의 큰 도적,
sentence,凡大醫治病에 必當安神定志하고 無欲無求하야,범대의치병에 필당안신정지하고 무욕무구하야,"무릇 큰 의사는 병을 치료함에 있어서 반드시 응당 정신을 안정시키고 의지(뜻)를 정해야 하고, 바라거나 얻고자 하는 것이 없어야 하고",
sentence,先發大慈惻隱之心하야 誓願普救含靈之苦라,선발대자측은지심하야 서원보구함령지고라,크게 자애롭고 측은한 마음을 먼저 펼쳐서 인간의 고통을 널리 구원하기를 맹세하고 원해야 한다.,
sentence,若有疾厄하야 來求救者면,약유질액하야 래구구자면,만약 질병과 재앙을 가지고 (의사에게) 와 구제해 주기를 요구하는 사람이 있다면,
sentence,不得問其貴賤貧富와 長幼妍媸와 怨親善友와 華夷愚智하고,부득문기귀천빈부와 장유연치와 원친선우와 화이우지하고,"그 사람(환자)에게 신분의 귀천, 빈부, 나이가 많은지 적은지, 고운지 추한지, 원수인지 친한지, 뜻을 알아주는 친구인지, 뜻을 같이하지 않는 친구인지, 중화 민족인지 오랑캐인지, 어리석은지 지혜로운지를 묻지 말아야 하고",不得: 할 수 있다/하여야 한다
sentence,普同一等하야 皆如至親之想이요,보동일등하야 개여지친지상이요,널리 한가지로 여겨서 지극히 친한 사람을 생각하는 것처럼 해야 한다.,
sentence,亦不得瞻前顧後하야 自慮吉凶하고 護惜身命이라,역부득첨전고후하야 자려길흉하고 호석신명이라,또한 앞을 엿보고 뒤를 돌아보아(눈치 보아) 스스로 길흉을 생각하고 자신의 목숨을 보호하고 아끼지 말아야 한다.,
sentence,見彼苦惱어든 若己有之하야 深心悽愴하야,견피고뇌어든 약기유지하야 심심처창하야,저 사람이 고통스럽고 괴로워하는 것을 보거든 마치 나에게 있는 것처럼 해 마음 깊이 불쌍히 여겨,
sentence,勿避嶮巇晝夜寒暑饑渴疲勞하고,물피험희주야한서기갈피로하고,"험한 곳, 밤낮, 춥고 더움, 배고픔과 갈증, 피로를 피하지 말고",勿: 부정 명령어
sentence,一心赴救하야 無作功夫形迹之心이니,일심부구하야 무작공부형적지심이니,한결같은 마음으로 구제하는 데에 다다라서 공로를 드러내고 싶은 마음을 만들지 말아야 하니,
sentence,如此라야 可爲蒼生大醫요 反此則是含靈巨賊이라,여차라야 가위창생대의요 반차즉시함령거적이라,"이와 같아야만 창생대의(민중을 치료할 만한 큰 의사)라 할 만하고 / 창생대의가 될 수 있고, 이에 반한다면 사람들의 큰 도적이다.",
paragraph,凡大醫治病에 必當安神定志하고 無欲無求하야 先發大慈惻隱之心하야 誓願普救含靈之苦라,범대의치병에 필당안신정지하고 무욕무구하야 선발대자측은지심하야 서원보구함령지고라,"무릇 큰 의사는 병을 치료함에 있어서 반드시 응당 정신을 안정시키고 의지(뜻)를 정해야 하고, 바라거나 얻고자 하는 것이 없어야 하고, 크게 자애롭고 측은한 마음을 먼저 펼쳐서 인간의 고통을 널리 구원하기를 맹세하고 원해야 한다.",의사의 마음가짐
paragraph,若有疾厄하야 來求救者면 不得問其貴賤貧富와 長幼妍媸와 怨親善友와 華夷愚智하고 普同一等하야 皆如至親之想이요,약유질액하야 래구구자면 부득문기귀천빈부와 장유연치와 원친선우와 화이우지하고 보동일등하야 개여지친지상이요,"만약 질병과 재앙을 가지고 (의사에게) 와 구제해 주기를 요구하는 사람이 있다면 그 사람(환자)에게 신분의 귀천, 빈부, 나이가 많은지 적은지, 고운지 추한지, 원수인지 친한지, 뜻을 알아주는 친구인지, 뜻을 같이하지 않는 친구인지, 중화 민족인지 오랑캐인지, 어리석은지 지혜로운지를 묻지 말아야 하고 널리 한가지로 여겨서 지극히 친한 사람을 생각하는 것처럼 해야 한다.",환자를 차별하지 않는 태도
paragraph,亦不得瞻前顧後하야 自慮吉凶하고 護惜身命이라 見彼苦惱어든 若己有之하야 深心悽愴하야 勿避嶮巇晝夜寒暑饑渴疲勞하고 一心赴救하야 無作功夫形迹之心이니,역부득첨전고후하야 자려길흉하고 호석신명이라 견피고뇌어든 약기유지하야 심심처창하야 물피험희주야한서기갈피로하고 일심부구하야 무작공부형적지심이니,"또한 앞을 엿보고 뒤를 돌아보아(눈치 보아) 스스로 길흉을 생각하고 자신의 목숨을 보호하고 아끼지 말아야 한다. 저 사람이 고통스럽고 괴로워하는 것을 보거든 마치 나에게 있는 것처럼 해 마음 깊이 불쌍히 여겨 험한 곳, 밤낮, 춥고 더움, 배고픔과 갈증, 피로를 피하지 말고 한결같은 마음으로 구제하는 데에 다다라서 공로를 드러내고 싶은 마음을 만들지 말아야 하니",위험과 피로를 피하지 않는 구제의 태도
paragraph,如此라야 可爲蒼生大醫요 反此則是含靈巨賊이라,여차라야 가위창생대의요 반차즉시함령거적이라,"이와 같아야만 창생대의(민중을 치료할 만한 큰 의사)라 할 만하고 / 창생대의가 될 수 있고, 이에 반한다면 사람들의 큰 도적이다.",결론
char,慈,사랑 자,,
char,惻,슬퍼할 측,,
char,隱,숨을 은,"숨기다, 가엾어하다",
char,誓,맹세할 서,,
char,願,원할 원,,
char,普,넓을 보,,
char,含,머금을 함,,
char,靈,신령 령,,
char,苦,쓸 고,"쓰다, 괴롭다",
char,貴,귀할 귀,,
char,賤,천할 천,,
char,幼,어릴 유,,
char,妍,고울 연,,
char,媸,추할 치,,
char,智,슬기 지,,
char,愚,어리석을 우,원숭이의 마음은 어리석다,
char,等,무리 등,"무리, 동등하다",
char,皆,다 개,,
char,想,생각 상,,
char,亦,또 역,,
char,瞻,볼 첨,,
char,顧,돌아볼 고,,
char,護,도울 호,보호하다 할 때 호,
char,惜,아낄 석,"아끼다, 애석하다",
char,惱,번뇌할 뇌,,
char,彼,저 피,저 사람 할 때 저,
char,己,몸 기,已 이미 이랑 다른 글자임 주의,
char,深,깊을 심,,
char,悽,슬퍼할 처,,
char,愴,슬플 창,"마음 심 + 곳집 창

곳집 창과 밥 식 구분 주의",
char,避,피할 피,,
char,嶮,험할 험,,
char,巇,험준할 희,,
char,饑,주릴 기,,
char,赴,다다를 부,부임하다 할 때 부,
char,迹,자취 적,흔적 할 때 적,
char,蒼,푸를 창,"풀 + 곳집 창
푸른 풀이 우거진 창고 이미지",
char,巨,클 거,,
char,賊,도둑 적,,
word,含靈,함령,영을 지닌 것 -> 사람,
char,定,정할 정,"정하다
약속하다
안정적이다",편안한 집에 들어간 발 이미지
char,至,이를 지,"~이르다
지극하다",
