type,text,reading,meaning,note
meta,不治已病治未病,불치이병치미병,,PDF 1-2에 보이는 원문·번역·설명 기준
word,與A不若B,여A불약B,비교. A하는 것과 비교했을 때 B하는 것만 같지 못하다(A하는 것보다 B하는 것이 낫다),
char,而,말이을 이,순접,
char,者,사람 자,~한 것은/ ~한 사람은,
char,之,어조사 지,"~의, ~하는 / 대명사 역할",
word,何患之有哉,하환지유재,有何患(유하환. 어떤 질병이 있다)를 도치시켜 의문형으로 바꾼 것. 이를 나타내기 위해 之를 추가했다.,
word,發陳之春,발진지춘,기운이 펼쳐지는 봄,
word,蕃秀之夏,번수지하,기운이 무성하게 뻗어나가는 여름,
char,怒,성낼 노,의지를 꺾어내는 것을 怒라고 표현,
char,容,받아들일 용,받아들이다. 수용하다,
word,容平之秋,용평지추,기운을 수렴하고 받아들여 평탄화시키는 가을,
word,閉藏之冬,폐장지동,닫고 저장하는 겨울,
word,以A爲B,이A위B,A를 가지고 B로 여기다.,
word,所以,소이,~하는 방법,
char,長,길 장,오래(부사),
word,長全,장전,살면서 죽을때까지 온전한 삶을 살게 하는 것,
word,十全,십전,병에 걸렸을 때 치료하여 온전하게 하는 것,
word,聖人,성인,높은 차원의 기준을 주는 존재,
word,上工,상공,뛰어난 의사,
char,道,길 도,원리 원칙,
char,術,꾀 술,구체적인 기술적 측면,
char,厥,그 궐,其(그 기)와 통용,
char,旨,뜻 지,속뜻. 깊은 뜻,
word,皇帝內經,황제내경,황제가 문하고 기백(천사의 지위)이 답하는 내용. 한의학의 시초. 항상 섭양을 강조함.,
word,旣~而繼之,기~이계지,이미 ~하고 이어서,
word,諄諄然,순순연,간절하게 타이르는 모습,
word,秦緩,진완,전설적인 의사. 醫緩(의완)이라고도 불림.,
word,膏肓,고황,약과 침이 미치지 못하는 것,
word,扁鵲,편작,전설의 명의,
sentence,與其救療於有疾之後론 不若攝養於無疾之先이니,여기구료어유질지후론 불약섭양어무질지선이니,"질병이 있는 다음에 치료하는 것(치이병)과 비교해서 질병이 생기기 전에 섭생하고 양생하는 것만 같지 못하니 (질병이 있는 다음에 치료하는 것보다 질병이 생기기 전에 섭생, 양생하는 것이 낫다)",與A不若B: 비교. A하는 것과 비교했을 때 B하는 것만 같지 못하다(A하는 것보다 B하는 것이 낫다) / 於: 뒤를 목적으로 만듦. ~을/를
sentence,蓋疾成而藥者는 徒勞而已라,개질성이약자는 도로이이라,대체로 질병이 이루어진 다음에 약을 쓰는 것은 단지 힘쓴 것일 뿐이다(헛수고이다).,而: 순접 / 者: ~한 것은/ ~한 사람은
sentence,是故로 已病而後治는 所以爲醫家之法이요,시고로 이병이후치는 소이위의가지법이요,이러한 까닭으로 이미 병든 후에 치료하는 것은 의가의 법(의술)을 하는 것이요,所以: ~한 것이다
sentence,未病而先治는 所以明攝生之理라,미병이선치는 소이명섭생지리라,아직 병들기 전에 먼저 치료하는 것은 섭생의 이치를 밝히는 것이다.,
