type,text,reading,meaning,note
meta,四氣調神大論,사기조신대론,,소문·사기조신대론편제이 (素問·四氣調神大論篇第二)
char,春,봄 춘,,
char,三,석 삼,,
char,月,달 월,,
char,此,이 차,,
char,謂,이를 위,,
char,發,필 발,,
char,陳,펼할 진,,
char,天,하늘 천,,
char,地,땅 지,,
char,俱,같을 구,,
char,生,날 생,,
char,萬,일만 만,,
char,物,물건 물,,
char,以,쓸 이,,
char,榮,영화 영,,
char,夜,밤 야,,
char,臥,누울 와,,
char,早,일찍 조,,
char,起,일어날 기,,
char,廣,넓을 광,,
char,步,걸음 보,,
char,於,어조사 어,,
char,庭,뜰 정,,
char,被,입을 피,,
char,髮,터럭 발,,
char,緩,느릴 완,,
char,形,모양 형,,
char,使,하여금 사,,
char,志,뜻 지,,
char,而,말이을 이,,
char,勿,말 물,,
char,殺,죽일 살,,
char,予,줄 여,,
char,奪,빼앗을 탈,,
char,賞,상줄 상,,
char,罰,벌 벌,,
char,氣,기운 기,,
char,之,어조사 지,,
char,應,응할 응,,
char,養,기를 양,,
char,道,길 도,,
char,也,어조사 야,,
char,逆,거스를 역,,
char,則,곧 즉,,
char,傷,상할 상,,
char,肝,간 간,,
char,夏,여름 하,,
char,爲,할 위,,
char,寒,찰 한,,
char,變,변할 변,,
char,奉,받들 봉,,
char,長,길 장,,
char,者,사람 자,,
char,少,적을 소,,
char,蕃,무성할 번,,
char,秀,빼어날 수,,
char,交,사귈 교,,
char,華,꽃 화,,
char,實,열매 실,,
char,無,없을 무,,
char,厭,싫어할 염,,
char,日,날 일,,
char,怒,성낼 노,,
char,英,꽃부리 영,,
char,成,이를 성,,
char,得,얻을 득,,
char,泄,엎을 설,,
char,若,같을 약,,
char,所,바 소,,
char,愛,사랑 애,,
char,在,있을 재,,
char,外,밖 외,,
char,心,마음 심,,
char,秋,가을 추,,
char,痎,학질 해,,
char,瘧,학질 학,,
char,收,거둘 수,,
char,冬,겨울 동,,
char,至,이를 지,,
char,重,무거울 중,,
char,病,병 병,,
char,容,얼굴 용,,
char,平,평평할 평,,
char,急,급할 급,,
char,明,밝을 명,,
char,與,더불 여,,
char,鷄,닭 계,,
char,興,일어날 흥,,
char,安,편안할 안,,
char,寧,편안할 녕,,
char,刑,형벌 형,,
char,斂,거둘 렴,,
char,神,신 신,,
char,其,그 기,,
char,肺,폐 폐,,
char,淸,맑을 청,,
char,飧,저녁밥 손,,
char,藏,감출 장,,
char,閉,닫을 폐,,
char,水,물 수,,
char,冰,얼음 빙,,
char,坼,터뜰 탁,,
char,擾,흔들 요,,
char,乎,어조사 호,,
char,陽,볕 양,,
char,晩,늦을 만,,
char,必,반드시 필,,
char,待,기다릴 대,,
char,光,빛 광,,
char,伏,엎드릴 복,,
char,匿,숨을 닉,,
char,有,있을 유,,
char,私,사사 사,,
char,意,뜻 의,,
char,已,이미 이,,
char,去,갈 거,,
char,就,나아갈 취,,
char,溫,따뜻할 온,,
char,皮,가죽 피,,
char,膚,살갗 살,,
char,亟,흴 극,,
char,腎,신장 신,,
char,痿,위증 위,,
char,厥,기운없을 궐,,
word,四氣調神,사기조신,사계절의 기에 맞추어 신을 조화롭게 함,
word,發陳,발진,묵은 것이 펼쳐져 나옴,봄의 이름
word,廣步於庭,광보어정,걸음을 넓게 해서 뜰에서 걷다,몸을 많이 움직이다
word,被髮緩形,피발완형,동여맨 옷과 머리카락을 느슨하게 하다,
word,養生之道,양생지도,생을 기르는 도,
word,蕃秀,번수,무성하고 빼어남,여름의 이름
word,天地氣交,천지기교,천지의 기가 교류하다,
word,萬物華實,만물화실,만물이 꽃 피고 열매를 맺다,
word,使志無怒,사지무노,의지로 하여금 성내지 않게 하다,
word,養長之道,양장지도,장을 기르는 도,
word,容平,용평,용모가 평화로움,가을의 이름
word,與鷄俱興,여계구흥,닭과 함께 일어나다,
word,收斂神氣,수렴신기,신기를 거둬들이다,
word,養收之道,양수지도,수를 기르는 도,
word,閉藏,폐장,닫고 감춤,겨울의 이름
word,水冰地坼,수빙지탁,물이 얼고 땅이 갈라지다,
word,必待日光,필대일광,반드시 햇볕을 기다리다,
word,去寒就溫,거한취온,추운 곳에서 멀어지고 따뜻한 곳으로 나아가다,
word,養藏之道,양장지도,장을 기르는 도,
sentence,春三月 此謂發陳 天地俱生 萬物以榮,춘삼월 차위발진 천지구생 만물이영,봄철 세 달은 발진이라 하니 천지가 모두 생겨나고 만물이 이로써 영화롭다,
sentence,夜臥早起 廣步於庭 被髮緩形 以使志生,야와조기 광보어정 피발완형 이사지생,밤에 자고 일찍 일어나야 하고 걸음을 넓게 해서 뜰에서 걷고 동여맨 옷과 머리카락을 느슨하게 해 그 의지로 하여금 생겨나게 한다,
