type,text,reading,meaning,note
meta,上古天眞論,상고천진론,,황제내경 소문
char,上,위 상,,
char,古,예 고,,
char,之,어조사 지,,
char,人,사람 인,,
char,其,그 기,,
char,知,알 지,,
char,道,길 도,,
char,者,사람 자,,
char,法,법 법,,
char,於,어조사 어,,
char,陰,그늘 음,,
char,陽,볕 양,,
char,和,고를 화,,
char,術,꾀 술,,
char,數,셀 수,,
char,食,먹을 식,,
char,飮,마실 음,,
char,有,있을 유,,
char,節,마디 절,,
char,起,일어날 기,,
char,居,있을 거,,
char,常,항상 상,,
char,不,아니 불,,
char,妄,망령될 망,,
char,作,지을 작,,
char,勞,일할 로,,
char,故,연고 고,,
char,能,능할 능,,
char,形,모양 형,,
char,與,더불 여,,
char,神,신 신,,
char,俱,함께 구,,
char,而,말이을 이,,
char,盡,다할 진,,
char,終,끝날 종,,
char,天,하늘 천,,
char,年,해 년,,
char,度,법도 도,,
char,百,일백 백,,
char,歲,해 세,,
char,乃,이에 내,,
char,去,갈 거,,
word,上古之人,상고지인,상고(고대)의 사람,
word,知道者,지도자,도를 아는 사람,
word,法於陰陽,법어음양,음양을 법칙으로 삼다,=자연에 순응하다
word,和於術數,화어술수,술수에 조화롭다,=사계절에 맞춰 행동하는 것
word,食飮有節,식음유절,식음에 절제가 있다,
word,起居有常,기거유상,기거에 항상됨이 있다,=계절에 맞춰 일정하게 변화함
word,不妄作勞,불망작로,함부로 수고로움을 만들지 않다,=정신적·육체적 피로 통칭
word,形與神俱,형여신구,형체와 정신이 모두 갖춰지다,
word,盡終其天年,진종기천년,타고난 수명을 다 마치다,타고난 수명
word,度百歲乃去,도백세내거,백 세를 넘어서 떠나다,
sentence,上古之人은 其知道者라,상고지인은 기지도자라,상고(고대)의 사람들은 도를 아는 사람들이다,
sentence,法於陰陽하야 和於術數하며 食飮有節하며 起居有常하야 不妄作勞하니,법어음양하야 화어술수하며 식음유절하며 기거유상하야 불망작로하니,음양을 법칙으로 삼아 술수에 조화로우며 식음에 있어 절제가 있으며 기거에 항상됨이 있어 함부로 수고로움을 만들지 않는다,
sentence,故로 能形與神俱하야 而盡終其天年하야 度百歲乃去니이다,고로 능형여신구하야 이진종기천년하야 도백세내거니이다,고로 형체와 정신이 모두 잘 갖춰질 수 있어 그 타고난 수명을 다 끝내서 백 세가 넘어서 이에 거한다(죽는다),
paragraph,上古之人은 其知道者라 法於陰陽하야 和於術數하며 食飮有節하며 起居有常하야 不妄作勞하니 故로 能形與神俱하야 而盡終其天年하야 度百歲乃去니이다,상고지인은 기지도자라 법어음양하야 화어술수하며 식음유절하며 기거유상하야 불망작로하니 고로 능형여신구하야 이진종기천년하야 도백세내거니이다,"상고(고대)의 사람들은 도를 아는 사람들이다. 음양을 법칙으로 삼아 술수에 조화로우며 식음에 있어 절제가 있으며 기거에 항상됨이 있어 함부로 수고로움을 만들지 않는다. 고로 형체와 정신이 모두 잘 갖춰질 수 있어 그 타고난 수명을 다 끝내서 백 세가 넘어서 이에 거한다(죽는다).",
