type,text,reading,meaning,note
meta,養性篇,양성편,,PDF에 보이는 원문·음·번역·설명 기준
word,養性篇,양성편,성을 기르는 글,
word,扁鵲,편작,편작,
word,黃帝說,황제설,황제가 말한 것,
word,晝夜,주야,낮과 밤,
word,漏下水,누하수,물을 똑똑 떨어뜨림,
word,百刻,백각,백 각,하루 24시간은 백각. 1각은 약 15분
word,一刻,일각,한 새김,
word,百三十五息,백삼십오식,135회 숨,
word,十刻,십각,열 새김,
word,一千三百五十息,일천삼백오십식,1350회 숨,
word,百刻,백각,100각,
word,一萬三千五百息,일만삼천오백식,13500회 숨,
word,人之居世數息之間,인지거세수식지간,사람이 세상에 거처함이 여러 번 숨 쉬는 사이,
word,鳴呼,오호,탄식함,
word,噫逝,희서,탄식하고 감,
word,爲善以自補,위선이자보,선을 행하여 스스로 보함,
word,十二時,십이시,열두 때. 하루 12시진,
word,時辰,시진,시진,
word,三十年,삼십년,30년,
word,九十年,구십년,90년,
word,朝菌,조균,아침 버섯. 아침에 났다가 저녁에 죽는 버섯,
word,蟪蛄,혜고,여름 한철 울고 죽는 매미,
word,自攝養,자섭양,스스로 섭양함,
word,馳騁六情,치빙육정,여섯 욕정을 따라 달림,
word,汲汲,급급,분주함,
word,逐名逐利,축명축리,명예와 이익을 좇음,
word,千詐萬巧,천사만교,천 가지 속임과 만 가지 기교,
word,沒齒而無厭,몰치이무염,죽을 때까지 싫어하지 않음,
word,養性者,양성자,성을 기르는 사람,
word,若存若亡,약존약망,있는 듯 없는 듯함,
word,非名非利,비명비리,명예도 아니고 이익도 아님,
word,沒身不殆,몰신불태,몸이 없어질 때까지 위태롭지 않음,
word,時俗之多僻,시속지다벽,세속에 많이 치우친 것,
word,皆放逸以殞亡,개방일이운망,모두 풀어져서 이로써 죽게 됨,
word,人倫之道,인륜지도,인륜의 도,
word,好事君子,호사군자,일을 좋아하는 군자,
word,同志,동지,뜻을 같이함,
word,所習以成性,소습이성성,익히는 바로써 본성을 이룸,
word,性自爲善,성자위선,본성이 스스로 선함,
word,禍亂災害,화란재해,재난과 해침,
word,治未病之病,치미병지병,아직 병들지 않은 병을 치료함,
word,餌藥餐霞,이약손하,약을 먹고 노을을 먹음,
word,兼於百行,겸어백행,백행을 겸함,
word,退年,퇴년,수명을 물림. 수명을 늘림,
word,德行,덕행,덕행,
word,玉液金丹,옥액금단,좋은 약,
word,陸行,육행,길을 가는 일,
word,虎兕,호시,호랑이와 외뿔소,
word,道德之祐,도덕지우,도와 덕을 닦아 얻게 되는 복,
word,藥餌者,약이자,약을 먹는 사람,
word,救過行之人,구과행지인,잘못된 행동을 하는 사람을 구제함,
word,抱病歷年,포병력년,병을 안은 지 여러 해가 지남,
word,纏痾沒齒,전아몰치,병에 얽혀 죽을 때까지 감,
word,終無悔心,종무회심,끝내 후회하는 마음이 없음,
word,岐和長逝,기화장서,기백과 의화가 장수하고 죽음,
word,彭跗永歸,팽부영귀,팽조와 유부가 오래 있다가 돌아감,
sentence,扁鵲이 云 黃帝說에 書夜로 漏下水는 百刻이라하니,편작이 운 황제설에 주야로 누하수는 백각이라하니,편작이 말하기를 황제가 말한 것에 하루 밤낮으로 물을 똑똑 떨어뜨린 것을 백 각이라 하니,하루=24시간=백각 / 1각=약 15분
sentence,凡一刻에 人이 百三十五息이요,범일각에 인이 백삼십오식이요,무릇 1각에 사람이 135회 숨을 쉬며,분당 약 9회. 일반적으로 분당 12~15회 호흡한다
sentence,十刻에 一千三百五十息이요,십각에 일천삼백오십식이요,10각에 1350회 숨을 쉬며,
sentence,百刻에 一萬三千五百息이니,백각에 일만삼천오백식이니,100각에 13500회 숨을 쉬니,
sentence,人之居世數息之間이라하니 信哉라,인지거세수식지간이라하니 신재라,사람이 세상에 거처함이 여러 번 숨 쉬는 사이라 하니 믿을 만하구나,
sentence,鳴呼라 昔人이 噫逝어늘 何可不爲善以自補邪리오,오호라 석인이 희서어늘 하가불위선이자보야리오,오호라 옛사람들이 죽는 것을 탄식했거늘 어찌 선을 행하여서 이로써 스스로 보하지 않을 수 있겠는가,
sentence,吾常思컨대 一日一夜에 有十二時하니 十日十夜에 百二十時요,오상사컨대 일일일야에 유십이시하니 십일십야에 백이십시요,내가 늘 생각하건대 하루 밤낮으로 12시진이 있으니 열흘은 120시진이요,
sentence,百日百夜에 一千二百時요 千日千夜에 一萬二千時요,백일백야에 일천이백시요 천일천야에 일만이천시요,백 일에 1200시진이요 천 일에 12000시진이요,
sentence,萬日萬夜에 一十二萬時니 此爲三十年이라,만일만야에 일십이만시니 차위삼십년이라,만 일에 120000시진이니 이것이 30년이 된다.,
sentence,若長壽者가 九十年이면 只得三十六萬時니 百年之內의 斯須之間이라,약장수자가 구십년이면 지득삼십육만시니 백년지내의 사수지간이라,만약 장수하는 사람이 90년이라 한다면 겨우 36만 시진을 얻은 것이니 백년 안의 사수지간(눈 깜짝할 사이)이다.,
