type,text,reading,meaning,note
meta,扁鵲六不治,편작육불치,,편작의 6가지 치료 못하는 상황
char,扁,넓적할 편,,
char,鵲,까치 작,,
char,六,여섯 육,,
char,不,아니 불,,
char,治,다스릴 치,,
char,驕,교만할 교,,
char,恣,방자할 자,,
char,論,의논할 논,,
char,於,어조사 어,,
char,理,다스릴 리,,
char,一,한 일,,
char,也,어조사 야,,
char,輕,가벼울 경,,
char,身,몸 신,,
char,重,무거울 중,,
char,財,재물 재,,
char,二,두 이,,
char,衣,옷 의,,
char,食,밥 식,,
char,能,능할 능,,
char,適,맞을 적,알맞다,
char,三,석 삼,,
char,陰,그늘 음,,
char,陽,볕 양,,
char,幷,어우를 병,,
char,藏,감출 장,,
char,氣,기운 기,,
char,定,정할 정,,
char,四,넉 사,,
char,形,모양 형,,
char,羸,파리할 리,,
char,服,옷 복,이 문맥에서는 복용하다의 뜻,
char,藥,약 약,,
char,五,다섯 오,,
char,信,믿을 신,,
char,巫,무당 무,,
char,醫,의원 의,,
word,六不治,육불치,여섯 가지 치료 못하는 상황,
word,驕恣,교자,교만하고 방자함,
word,不論於理,불론어리,이치를 논하지 못함,
word,輕身重財,경신중재,몸을 가볍게 여기고 재물을 중하게 여김,
word,衣食不能適,의식불능적,옷 입고 먹는 것이 알맞지 못함,
word,陰陽幷藏,음양병장,음양이 오장과 아울러지다,
word,氣不定,기불정,기가 안정되지 않다,
word,形羸,형리,형체가 초췌함,
word,不能服藥,불능복약,약을 복용하지 못함,
word,信巫不信醫,신무불신의,무속을 믿고 의사를 믿지 않음,
sentence,驕恣不論於理 一不治也,교자불론어리 일불치야,교만하고 방자한 태도로 하여금 (의학의) 이치를 논하지 못하는 경우를 첫번째 치료할 수 없는 상황이라 한다,
sentence,輕身重財 二不治也,경신중재 이불치야,몸을 가볍게(소홀히) 여기고 재물을 중요하게 여기는 경우를 두번째 치료할 수 없는 상황이라 한다,
sentence,衣食不能適 三不治也,의식불능적 삼불치야,옷 입고 먹는 것들이 알맞지 못한 경우를 세번째 치료할 수 없는 상황이라 한다,
sentence,陰陽幷藏 氣不定 四不治也,음양병장 기불정 사불치야,음양이 오장과 아울러져(엉켜) 기가 안정되지 않는 경우를 네번째 치료할 수 없는 상황이라 한다,
sentence,形羸不能服藥 五不治也,형리불능복약 오불치야,형체가 초췌해져 약을 복용하지 못하는 경우를 다섯번째 치료할 수 없는 상황이라 한다,
sentence,信巫不信醫 六不治也,신무불신의 육불치야,무속을 믿고 의사를 믿지 않는 것을 여섯번째 치료할 수 없는 상황이라 한다,
paragraph,驕恣不論於理 一不治也 輕身重財 二不治也 衣食不能適 三不治也 陰陽幷藏 氣不定 四不治也 形羸不能服藥 五不治也 信巫不信醫 六不治也,교자불론어리 일불치야 경신중재 이불치야 의식불능적 삼불치야 음양병장 기불정 사불치야 형리불능복약 오불치야 신무불신의 육불치야,"교만하고 방자하여 이치를 논하지 못하는 경우가 첫째, 몸을 가볍게 여기고 재물을 중시하는 경우가 둘째, 옷 입고 먹는 것이 알맞지 못한 경우가 셋째, 음양이 오장과 엉켜 기가 안정되지 않는 경우가 넷째, 형체가 초췌해져 약을 복용하지 못하는 경우가 다섯째, 무속을 믿고 의사를 믿지 않는 경우가 여섯째 치료할 수 없는 상황이다.",
